Time,Bits/s
2000-01-01 00:09:09,404
2000-01-01 00:09:10,392
2000-01-01 00:09:11,353
2000-01-01 00:09:12,288
2000-01-01 00:09:13,239
2000-01-01 00:09:14,192
2000-01-01 00:09:15,165
2000-01-01 00:09:16,155
2000-01-01 00:09:17,154
2000-01-01 00:09:18,134
2000-01-01 00:09:19,116
2000-01-01 00:09:20,103
2000-01-01 00:09:21,83
2000-01-01 00:09:22,69
2000-01-01 00:09:23,58
2000-01-01 00:09:24,45
2000-01-01 00:09:25,60
2000-01-01 00:09:26,73
2000-01-01 00:09:27,81
2000-01-01 00:09:28,88
2000-01-01 00:09:29,91
2000-01-01 00:09:30,112
2000-01-01 00:09:31,134
2000-01-01 00:09:32,173
2000-01-01 00:09:33,201
2000-01-01 00:09:34,202
2000-01-01 00:09:35,203
2000-01-01 00:09:36,195
2000-01-01 00:09:37,178
2000-01-01 00:09:38,180
2000-01-01 00:09:39,220
2000-01-01 00:09:40,268
2000-01-01 00:09:41,285
2000-01-01 00:09:42,307
2000-01-01 00:09:43,302
2000-01-01 00:09:44,289
2000-01-01 00:09:45,286
2000-01-01 00:09:46,337
2000-01-01 00:09:47,410
2000-01-01 00:09:48,443
2000-01-01 00:09:49,473
2000-01-01 00:09:50,508
2000-01-01 00:09:51,530
2000-01-01 00:09:52,531
2000-01-01 00:09:53,514
2000-01-01 00:09:54,550
2000-01-01 00:09:55,557
2000-01-01 00:09:56,604
2000-01-01 00:09:57,674
2000-01-01 00:09:58,673
2000-01-01 00:09:59,702
2000-01-01 00:10:00,750
2000-01-01 00:10:01,783
2000-01-01 00:10:02,812
2000-01-01 00:10:03,763
2000-01-01 00:10:04,749
2000-01-01 00:10:05,758
2000-01-01 00:10:06,750
2000-01-01 00:10:07,739
2000-01-01 00:10:08,769
2000-01-01 00:10:09,779
2000-01-01 00:10:10,779
2000-01-01 00:10:11,786
2000-01-01 00:10:12,775
2000-01-01 00:10:13,764
2000-01-01 00:10:14,799
2000-01-01 00:10:15,811
2000-01-01 00:10:16,778
2000-01-01 00:10:17,747
2000-01-01 00:10:18,702
2000-01-01 00:10:19,659
2000-01-01 00:10:20,615
2000-01-01 00:10:21,568
2000-01-01 00:10:22,531
2000-01-01 00:10:23,506
2000-01-01 00:10:24,460
2000-01-01 00:10:25,414
2000-01-01 00:10:26,389
2000-01-01 00:10:27,357
2000-01-01 00:10:28,364
2000-01-01 00:10:29,375
2000-01-01 00:10:30,382
2000-01-01 00:10:31,365
2000-01-01 00:10:32,325
2000-01-01 00:10:33,308
2000-01-01 00:10:34,318
2000-01-01 00:10:35,301
2000-01-01 00:10:36,288
2000-01-01 00:10:37,286
2000-01-01 00:10:38,296
2000-01-01 00:10:39,281
2000-01-01 00:10:40,290
2000-01-01 00:10:41,283
2000-01-01 00:10:42,274
2000-01-01 00:10:43,227
2000-01-01 00:10:44,198
2000-01-01 00:10:45,203
2000-01-01 00:10:46,210
2000-01-01 00:10:47,210
2000-01-01 00:10:48,187
2000-01-01 00:10:49,173
2000-01-01 00:10:50,163
2000-01-01 00:10:51,163
2000-01-01 00:10:52,150
2000-01-01 00:10:53,134
2000-01-01 00:10:54,142
2000-01-01 00:10:55,157
2000-01-01 00:10:56,140
2000-01-01 00:10:57,127
2000-01-01 00:10:58,120
2000-01-01 00:10:59,124
2000-01-01 00:11:00,117
2000-01-01 00:11:01,102
2000-01-01 00:11:02,105
2000-01-01 00:11:03,108
2000-01-01 00:11:04,118
2000-01-01 00:11:05,127
2000-01-01 00:11:06,129
2000-01-01 00:11:07,130
2000-01-01 00:11:08,136
2000-01-01 00:11:09,145
2000-01-01 00:11:10,148
2000-01-01 00:11:11,157
2000-01-01 00:11:12,159
2000-01-01 00:11:13,170
2000-01-01 00:11:14,176
2000-01-01 00:11:15,161
2000-01-01 00:11:16,172
2000-01-01 00:11:17,186
2000-01-01 00:11:18,180
2000-01-01 00:11:19,165
2000-01-01 00:11:20,199
2000-01-01 00:11:21,211
2000-01-01 00:11:22,187
2000-01-01 00:11:23,169
2000-01-01 00:11:24,174
2000-01-01 00:11:25,174
2000-01-01 00:11:26,172
2000-01-01 00:11:27,183
2000-01-01 00:11:28,184
2000-01-01 00:11:29,177
2000-01-01 00:11:30,199
2000-01-01 00:11:31,197
2000-01-01 00:11:32,192
2000-01-01 00:11:33,185
2000-01-01 00:11:34,177
2000-01-01 00:11:35,153
2000-01-01 00:11:36,154
2000-01-01 00:11:37,154
2000-01-01 00:11:38,143
2000-01-01 00:11:39,144
2000-01-01 00:11:40,140
2000-01-01 00:11:41,145
2000-01-01 00:11:42,156
2000-01-01 00:11:43,172
2000-01-01 00:11:44,188
2000-01-01 00:11:45,209
2000-01-01 00:11:46,226
2000-01-01 00:11:47,248
2000-01-01 00:11:48,261
2000-01-01 00:11:49,276
2000-01-01 00:11:50,283
2000-01-01 00:11:51,295
2000-01-01 00:11:52,316
2000-01-01 00:11:53,347
2000-01-01 00:11:54,375
2000-01-01 00:11:55,383
2000-01-01 00:11:56,381
2000-01-01 00:11:57,364
2000-01-01 00:11:58,363
2000-01-01 00:11:59,372
2000-01-01 00:12:00,379
2000-01-01 00:12:01,388
2000-01-01 00:12:02,410
2000-01-01 00:12:03,408
