Time,Bits/s
2000-01-01 00:09:51,5598
2000-01-01 00:09:52,5701
2000-01-01 00:09:53,5833
2000-01-01 00:09:54,5839
2000-01-01 00:09:55,6012
2000-01-01 00:09:56,6091
2000-01-01 00:09:57,6077
2000-01-01 00:09:58,6132
2000-01-01 00:09:59,6238
2000-01-01 00:10:00,6552
2000-01-01 00:10:01,6864
2000-01-01 00:10:02,6604
2000-01-01 00:10:03,6613
2000-01-01 00:10:04,7675
2000-01-01 00:10:05,7696
2000-01-01 00:10:06,7465
2000-01-01 00:10:07,7391
2000-01-01 00:10:08,7293
2000-01-01 00:10:09,7324
2000-01-01 00:10:10,7238
2000-01-01 00:10:11,7347
2000-01-01 00:10:12,7548
2000-01-01 00:10:13,7589
2000-01-01 00:10:14,7614
2000-01-01 00:10:15,7606
2000-01-01 00:10:16,7826
2000-01-01 00:10:17,8039
2000-01-01 00:10:18,8069
2000-01-01 00:10:19,8190
2000-01-01 00:10:20,8092
2000-01-01 00:10:21,8124
2000-01-01 00:10:22,8189
2000-01-01 00:10:23,8266
2000-01-01 00:10:24,8347
2000-01-01 00:10:25,8294
2000-01-01 00:10:26,8292
2000-01-01 00:10:27,8333
2000-01-01 00:10:28,8301
2000-01-01 00:10:29,8385
2000-01-01 00:10:30,8348
2000-01-01 00:10:31,8548
2000-01-01 00:10:32,8692
2000-01-01 00:10:33,8583
2000-01-01 00:10:34,8475
2000-01-01 00:10:35,8476
2000-01-01 00:10:36,8329
2000-01-01 00:10:37,8274
2000-01-01 00:10:38,8193
2000-01-01 00:10:39,8205
2000-01-01 00:10:40,7676
2000-01-01 00:10:41,7682
2000-01-01 00:10:42,7642
2000-01-01 00:10:43,7716
2000-01-01 00:10:44,8606
2000-01-01 00:10:45,8541
2000-01-01 00:10:46,8570
2000-01-01 00:10:47,8562
2000-01-01 00:10:48,8407
2000-01-01 00:10:49,8579
2000-01-01 00:10:50,8487
2000-01-01 00:10:51,8528
2000-01-01 00:10:52,7926
2000-01-01 00:10:53,7916
2000-01-01 00:10:54,8236
2000-01-01 00:10:55,8176
2000-01-01 00:10:56,7031
2000-01-01 00:10:57,7233
2000-01-01 00:10:58,7366
2000-01-01 00:10:59,7394
2000-01-01 00:11:00,6922
2000-01-01 00:11:01,6941
2000-01-01 00:11:02,6866
2000-01-01 00:11:03,6964
2000-01-01 00:11:04,6915
2000-01-01 00:11:05,6863
2000-01-01 00:11:06,6776
2000-01-01 00:11:07,6778
2000-01-01 00:11:08,6451
2000-01-01 00:11:09,6678
2000-01-01 00:11:10,6683
2000-01-01 00:11:11,6587
2000-01-01 00:11:12,6597
2000-01-01 00:11:13,6646
2000-01-01 00:11:14,6672
2000-01-01 00:11:15,6689
2000-01-01 00:11:16,6360
2000-01-01 00:11:17,6410
2000-01-01 00:11:18,6320
2000-01-01 00:11:19,6338
2000-01-01 00:11:20,6330
2000-01-01 00:11:21,6356
2000-01-01 00:11:22,6346
2000-01-01 00:11:23,6409
2000-01-01 00:11:24,6364
2000-01-01 00:11:25,6420
2000-01-01 00:11:26,6388
2000-01-01 00:11:27,6497
2000-01-01 00:11:28,6424
2000-01-01 00:11:29,6266
2000-01-01 00:11:30,6200
2000-01-01 00:11:31,6316
2000-01-01 00:11:32,6540
2000-01-01 00:11:33,6573
2000-01-01 00:11:34,6503
2000-01-01 00:11:35,6788
2000-01-01 00:11:36,7105
2000-01-01 00:11:37,7225
2000-01-01 00:11:38,7140
2000-01-01 00:11:39,7302
2000-01-01 00:11:40,7820
2000-01-01 00:11:41,7736
2000-01-01 00:11:42,7532
2000-01-01 00:11:43,7658
2000-01-01 00:11:44,8097
2000-01-01 00:11:45,8006
2000-01-01 00:11:46,8015
2000-01-01 00:11:47,8126
2000-01-01 00:11:48,8334
2000-01-01 00:11:49,8293
2000-01-01 00:11:50,8293
2000-01-01 00:11:51,8236
2000-01-01 00:11:52,7556
2000-01-01 00:11:53,7664
2000-01-01 00:11:54,7692
2000-01-01 00:11:55,7736
2000-01-01 00:11:56,7600
2000-01-01 00:11:57,7572
2000-01-01 00:11:58,7528
2000-01-01 00:11:59,7494
2000-01-01 00:12:00,7834
2000-01-01 00:12:01,7812
2000-01-01 00:12:02,7690
2000-01-01 00:12:03,7676
2000-01-01 00:12:04,7947
2000-01-01 00:12:05,7980
2000-01-01 00:12:06,7944
2000-01-01 00:12:07,7965
2000-01-01 00:12:08,8018
2000-01-01 00:12:09,8043
2000-01-01 00:12:10,8043
2000-01-01 00:12:11,8044
2000-01-01 00:12:12,7932
2000-01-01 00:12:13,8017
2000-01-01 00:12:14,7964
2000-01-01 00:12:15,8032
2000-01-01 00:12:16,8218
2000-01-01 00:12:17,8216
2000-01-01 00:12:18,7992
2000-01-01 00:12:19,8042
2000-01-01 00:12:20,8148
2000-01-01 00:12:21,8198
2000-01-01 00:12:22,8250
2000-01-01 00:12:23,8428
2000-01-01 00:12:24,8224
2000-01-01 00:12:25,8208
2000-01-01 00:12:26,8482
2000-01-01 00:12:27,8446
2000-01-01 00:12:28,8314
2000-01-01 00:12:29,8228
2000-01-01 00:12:30,8244
2000-01-01 00:12:31,8250
2000-01-01 00:12:32,7955
2000-01-01 00:12:33,7877
2000-01-01 00:12:34,7823
2000-01-01 00:12:35,8013
2000-01-01 00:12:36,7532
2000-01-01 00:12:37,7125
2000-01-01 00:12:38,7126
2000-01-01 00:12:39,7290
